artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,k_cluster
blackbear,hot girl bummer,6jRq8gaZhMUyy5RclRPcAf,81,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,188344,1,1
Lil Durk,3 Headed Goat (feat. Lil Baby & Polo G),6Tguhaf2uAe6OjRLsR2Tql,76,0.846,0.48,8,-8.618,0,0.359,0.269,0.0,0.0989,0.419,143.029,169532,4,1
Playboi Carti,Vamp Anthem,4CzhtKifG867Lu5DNQVBSA,78,0.642,0.69,11,-5.101,1,0.261,0.00599,1.3e-06,0.322,0.641,164.075,124094,4,2
Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,83,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4,1
Ozzy Osbourne,Crazy Train,7ACxUo21jtTHzy7ZEV56vU,78,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,293183,4,2
Bad Bunny,Si Veo a Tu Mamá,41wtwzCZkXwpnakmwJ239F,82,0.9,0.603,2,-5.313,1,0.0646,0.402,4.81e-06,0.134,0.824,129.928,170972,4,0
Pop Smoke,Element,57BGVV6wcyhbn3hsjlqEZB,80,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747,5,0
Sleep Miracle,Brown Sleep Noise,5UBonaClAZVfzxJNn8nnhh,79,0.0555,0.0837,1,-30.397,1,0.147,0.116,1.0,0.112,0.06,59.509,248000,4,0
Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,81,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4,1
21 Savage,Rich Nigga Shit (feat. Young Thug),3ruoIF2UnoXdzK8mR61ebq,77,0.825,0.733,1,-5.625,0,0.0969,0.349,0.0,0.112,0.62,97.974,190331,4,1
Conan Gray,Maniac,6KfoDhO4XUWSbnyKjNp9c4,81,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,185773,4,2
HARDY,GIVE HEAVEN SOME HELL,2bVeUlOC5JjTpkQXuUUoYm,74,0.639,0.843,11,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.047,217802,4,2
Tame Impala,Borderline,5hM5arv9KDbCHS0k9uqwjr,79,0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,237800,4,1
Lil Tecca,Our Time,2WxUIiq06XXPYWl9YcRJnD,79,0.895,0.439,5,-12.142,0,0.319,0.199,0.0,0.0683,0.633,109.988,98413,4,1
Polo G,21,3JKgcAa7r07ocVWcV8bS0H,77,0.783,0.479,7,-10.646,1,0.541,0.149,0.0,0.101,0.533,176.027,163798,4,2
BTS,Dynamite,5QDLhrAOJJdNAmCTJ8xMyW,86,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4,1
DaBaby,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,80,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4,2
Taylor Swift,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,80,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634,4,0
Don Toliver,No Idea,7AzlLxHn24DxjgQX73F9fU,80,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998,154424,4,1
Beach Bunny,Cloud 9,6vFsBXYczYsP0H3lgunZOm,79,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,147351,4,2
The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,79,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,198267,4,1
The Strokes,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,79,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053,4,2
Giveon,Like I Want You,6qBFSepqLCuh5tehehc1bd,77,0.678,0.355,10,-7.757,0,0.0627,0.759,7.06e-05,0.114,0.438,119.772,260776,3,1
Jack Harlow,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,77,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4,1
Kane Brown,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,76,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406,4,2
1nonly,Stay With Me,2WYs5LxOZfEyURXu7V0O1a,80,0.684,0.844,9,-7.649,1,0.335,0.302,0.0,0.374,0.335,126.677,141505,5,2
Drake,Time Flies,5H4mXWKcicuLKDn4Jy0sK7,77,0.864,0.477,10,-5.786,1,0.224,0.201,0.0,0.182,0.5,86.46,192932,4,2
Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,80,0.607,0.829,2,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,295177,4,0
Gabby Barrett,The Good Ones,3hLuHKzG1cmlRpq53ZVWd8,74,0.519,0.552,2,-5.023,1,0.0259,0.18,0.0,0.149,0.331,89.957,215141,4,0
Taylor Swift,champagne problems,0sY6ZUTh4yoctD8VIXz339,78,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319,244000,4,0
Luar La L,Caile,6i1g5ZRmJZAkDwBaUZ3f2i,91,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,141340,3,0
Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,79,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,172127,4,2
Gabby Barrett,I Hope,23T0OX7QOiIUFShSzbJ5Uo,74,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998,210773,4,2
Dua Lipa,Levitating,39LLxExYz6ewLAcYrzQQyP,84,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,203808,4,1
Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,83,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4,2
Pop Smoke,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,77,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,164580,4,0
Juice WRLD,Conversations,4K06PO78fW4mnBVenxGNob,76,0.747,0.622,11,-5.825,1,0.0838,0.176,0.0,0.151,0.57,159.93,181661,4,2
Eyedress,Romantic Lover,7s5VQqrjBtrBgZL4pEa46S,77,0.658,0.447,9,-9.299,0,0.0869,0.701,0.924,0.198,0.538,184.316,86739,4,1
Lil Baby,We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,74,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,181929,4,0
Bad Bunny,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY,81,0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,130014,4,1
Mac Miller,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,76,0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,209440,4,2
Big Sean,Wolves (feat. Post Malone),33gwZOGJWEZ7dRWPqPxBEZ,77,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,199758,4,0
Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),2r6OAV3WsYtXuXjvJ1lIDi,78,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.367,130.97,190534,4,1
G Herbo,PTSD,1C8ux1YWLMHCenYJFiIV4Z,74,0.883,0.808,1,-3.158,0,0.182,0.0313,0.0,0.207,0.806,119.01,232065,4,1
Juice WRLD,Righteous,5dOxHHMOFAbG3VH23t0xNm,76,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.948,242181,4,0
The Kid LAROI,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,80,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385,4,0
Wiz Khalifa,The Thrill,4wqzOaLxiCRy2Et8tRyNSX,77,0.817,0.775,10,-4.767,0,0.108,0.277,0.0,0.108,0.806,126.984,234334,4,1
Bad Bunny,La Difícil,6NfrH0ANGmgBXyxgV2PeXt,80,0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,163084,4,1
Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,76,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4,1
The Weeknd,After Hours,2p8IUWQDrpjuFltbdgLOag,80,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,361027,4,1
Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,81,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4,0
Carly Pearce,I Hope You’re Happy Now,0Al3wN3keprGTSgG8NBwjr,72,0.591,0.815,10,-4.725,1,0.0366,0.168,8.68e-06,0.142,0.306,118.024,198689,4,2
